relative_path,filename,extension,size_bytes,file_hash,include,duplicate_of,kb_lane,scene,doc_type
sop1/1.7直播.pdf,1.7直播.pdf,.pdf,3211056,1bd0bb71e703607c,True,,policy_ops,policy,pdf_sop
sop1/1030终版 直播-欧盟GPSR商家端合规指引.pptx,1030终版 直播-欧盟GPSR商家端合规指引.pptx,.pptx,3586093,3dd17de8067e2b6d,True,,policy_ops,policy,ppt_training
sop1/12.4-直播-外发.pdf,12.4-直播-外发.pdf,.pdf,10132336,cbd3eec902740afc,True,,policy_ops,policy,pdf_sop
sop1/2026春节备货卖家培训(终版PDF）.pdf,2026春节备货卖家培训(终版PDF）.pdf,.pdf,4400462,02af03278ce5ae31,True,,category_training,activity,pdf_sop
sop1/AI主图美化教学手册.pptx -a.pdf,AI主图美化教学手册.pptx -a.pdf,.pdf,7654398,e7ee9f5c1db3f967,True,,category_training,activity,pdf_sop
sop1/pdd temu 常规男装审版规范v1.3-(1).pdf,pdd temu 常规男装审版规范v1.3-(1).pdf,.pdf,2352111,bdea9e332c806374,True,,policy_ops,policy,pdf_sop
sop1/pfas同材质声明-20250714.docx,pfas同材质声明-20250714.docx,.docx,15085,ec2d6db506eabd3d,True,,policy_ops,policy,docx_sop
sop1/PPE认可联系机构方式-16大.pdf,PPE认可联系机构方式-16大.pdf,.pdf,178290,ab44baf0405026f7,True,,policy_ops,policy,pdf_sop
sop1/Temu 常规男装审版注意事项240610.pdf,Temu 常规男装审版注意事项240610.pdf,.pdf,2971475,3fabad5daf97af05,True,,policy_ops,policy,pdf_sop
sop1/TEMU 运动户外男装- 直播  流量+商业化.pdf,TEMU 运动户外男装- 直播  流量+商业化.pdf,.pdf,5239455,f383416386115277,True,,category_training,activity,pdf_sop
sop1/Temu商家售后规则-20240313定稿.pdf,Temu商家售后规则-20240313定稿.pdf,.pdf,143015,c586b8611d0339ba,True,,merchant_guide,inventory,pdf_sop
sop1/Temu工业和科学商家操作指南(2).pdf,Temu工业和科学商家操作指南(2).pdf,.pdf,3269491,ad0463d8ef4106a0,True,,merchant_guide,inventory,pdf_sop
sop1/TEMU服装质量规范--卖家端-20231228.pdf,TEMU服装质量规范--卖家端-20231228.pdf,.pdf,6899153,10375bc75052739a,True,,policy_ops,policy,pdf_sop
sop1/TEMU男装招商简介.pdf,TEMU男装招商简介.pdf,.pdf,1496261,09901cacdabd8856,True,,policy_ops,policy,pdf_sop
sop1/TRO服务市场机构介绍.pdf,TRO服务市场机构介绍.pdf,.pdf,8334186,948e77eec2d392b2,True,,policy_ops,policy,pdf_sop
sop1/T恤批量上款商家套版流程.pdf,T恤批量上款商家套版流程.pdf,.pdf,381287,e0a45be5f2fa08cf,True,,merchant_guide,inventory,pdf_sop
sop1/Undertaking Letter.docx,Undertaking Letter.docx,.docx,15644,e72fa088be2a13ac,True,,policy_ops,policy,docx_sop
sop1/Y2模式入门指南0505.pdf,Y2模式入门指南0505.pdf,.pdf,5961784,8669b90f7db07e4d,True,,merchant_guide,inventory,pdf_sop
sop1/【SOP】卖家中心-合规中心-商品标签实拍图 · Note.pdf,【SOP】卖家中心-合规中心-商品标签实拍图 · Note.pdf,.pdf,8821478,bd6a047311b2e857,True,,policy_ops,policy,pdf_sop
sop1/【跨境】卖家寄样操作指南-8.23.pdf,【跨境】卖家寄样操作指南-8.23.pdf,.pdf,412347,54be8a59ca91fea8,True,,policy_ops,policy,pdf_sop
sop1/【跨境电商】卖家样品及大货发货包装要求说明（8.23）(1).pdf,【跨境电商】卖家样品及大货发货包装要求说明（8.23）(1).pdf,.pdf,883462,8314ec673e7d15a8,True,,merchant_guide,inventory,pdf_sop
sop1/【首次导流】内地商家线下承诺函-20231225定稿.docx,【首次导流】内地商家线下承诺函-20231225定稿.docx,.docx,18555,1925a172a7789ea3,True,,policy_ops,policy,docx_sop
sop1/亚洲码转码和尺码映射(20251113打印版）.pptx,亚洲码转码和尺码映射(20251113打印版）.pptx,.pptx,59516,bd6fc7b5b0e9b994,True,,category_training,activity,ppt_training
sop1/入驻流程.pptx,入驻流程.pptx,.pptx,394677,1a78673f3a70ea47,True,,category_training,activity,ppt_training
sop1/公司与个人关系证明材料模版 (2).docx,公司与个人关系证明材料模版 (2).docx,.docx,11474,3e91027485d3a366,True,,policy_ops,policy,docx_sop
sop1/半托管卖家发货SOP.pdf,半托管卖家发货SOP.pdf,.pdf,7685474,8a68229db834f898,True,,merchant_guide,inventory,pdf_sop
sop1/半托管卖家手册（0208 1.0版）.pdf,半托管卖家手册（0208 1.0版）.pdf,.pdf,927657,a276e9193fe077d0,True,,policy_ops,policy,pdf_sop
sop1/半托管店铺商家运营流程参考指引20240311.pdf,半托管店铺商家运营流程参考指引20240311.pdf,.pdf,1309665,7fea7619b4348a87,True,,merchant_guide,inventory,pdf_sop
sop1/半托管运费模板 SOP.pdf,半托管运费模板 SOP.pdf,.pdf,1302172,05679b7fb03c5d59,True,,merchant_guide,inventory,pdf_sop
sop1/卖家查看定制内容.pdf,卖家查看定制内容.pdf,.pdf,456240,d57f01608f494115,True,,policy_ops,policy,pdf_sop
sop1/发货简介.pptx,发货简介.pptx,.pptx,3006953,1d370216dcba3ce4,True,,category_training,activity,ppt_training
sop1/合规标签考试内容—0331.pdf,合规标签考试内容—0331.pdf,.pdf,474515,2ac3201fbbdfb534,True,,policy_ops,policy,pdf_sop
sop1/商品发布流程.pdf,商品发布流程.pdf,.pdf,2683476,6cab9866bfeae1f7,True,,policy_ops,policy,pdf_sop
sop1/商品恢复美国站售卖流程 & 欧盟EPR合规(6).pdf,商品恢复美国站售卖流程 & 欧盟EPR合规(6).pdf,.pdf,4015813,70237e0f4cfe103a,True,,policy_ops,policy,pdf_sop
sop1/商品操作multiset套装设置操作路径 SOP.pdf,商品操作multiset套装设置操作路径 SOP.pdf,.pdf,656784,6ff5e74952f086a3,True,,policy_ops,policy,pdf_sop
sop1/商品条码改造，对外宣导9.18.pdf,商品条码改造，对外宣导9.18.pdf,.pdf,311439,6450eaf57f5a1efb,True,,policy_ops,policy,pdf_sop
sop1/商家备货单作废流程.docx,商家备货单作废流程.docx,.docx,894649,7993c489ef867440,True,,merchant_guide,inventory,docx_sop
sop1/商家必做四大资质！.docx,商家必做四大资质！.docx,.docx,320290,642c81d69e06f896,True,,policy_ops,policy,docx_sop
sop1/商家必做四大资质！.pdf,商家必做四大资质！.pdf,.pdf,340112,198ab4fab2c38fbb,True,,policy_ops,policy,pdf_sop
sop1/商家端-套装商品填写SOP-0731可对外版.pdf,商家端-套装商品填写SOP-0731可对外版.pdf,.pdf,1247628,6327dda38ef4a6c0,True,,merchant_guide,inventory,pdf_sop
sop1/商家端-套装商品填写各部件信息流程指引.pdf,商家端-套装商品填写各部件信息流程指引.pdf,.pdf,692289,2bfc06f709b8f7fc,True,,merchant_guide,inventory,pdf_sop
sop1/商家绑定套版组流程--批量上款必做.pdf,商家绑定套版组流程--批量上款必做.pdf,.pdf,331901,f525977ace3baa3e,True,,merchant_guide,inventory,pdf_sop
sop1/图片审核问题.pdf,图片审核问题.pdf,.pdf,7181354,5a30834cdc6622ae,True,,policy_ops,policy,pdf_sop
sop1/土代直播 0408直播.pdf,土代直播 0408直播.pdf,.pdf,1702575,646a5e436cc65646,True,,policy_ops,policy,pdf_sop
sop1/土耳其合规标签  更新.pdf,土耳其合规标签  更新.pdf,.pdf,1997834,faab661a98ae1908,True,,policy_ops,policy,pdf_sop
sop1/奥地利EPR包装法 SOP 4.7-(1).pdf,奥地利EPR包装法 SOP 4.7-(1).pdf,.pdf,630664,a9015224c090418f,True,,policy_ops,policy,pdf_sop
sop1/奥地利EPR包装法 SOP 4.7.pdf,奥地利EPR包装法 SOP 4.7.pdf,.pdf,630664,a9015224c090418f,False,sop1/奥地利EPR包装法 SOP 4.7-(1).pdf,policy_ops,policy,pdf_sop
sop1/奥地利包装法   SOP指引    interzero_customer guide.docx,奥地利包装法   SOP指引    interzero_customer guide.docx,.docx,1743605,502dddc45f33007b,True,,policy_ops,policy,docx_sop
